,S_no,center_id,center_name,csa,cva,hol,awareness,crowd
104,104,101,NG Hospital,13,114,0,0.21,0.3143815552928054
105,105,101,NG Hospital,142,128,0,0.21,0.2618782480247879
106,106,101,NG Hospital,126,197,0,0.21,0.15905347466697417
107,107,101,NG Hospital,103,9,0,0.21,0.22116443347195683
108,108,101,NG Hospital,24,12,0,0.21,0.36888582686763405
109,109,101,NG Hospital,121,137,0,0.21,0.22884564069858682
110,110,101,NG Hospital,158,37,0,0.21,0.32717265450141014
111,111,101,NG Hospital,121,40,0,0.21,0.2951756440657423
112,112,101,NG Hospital,174,99,0,0.21,0.17408294341882521
113,113,101,NG Hospital,100,174,0,0.21,0.23070922344032652
114,114,101,NG Hospital,7,147,0,0.21,0.40469887656440595
115,115,101,NG Hospital,108,198,0,0.21,0.18242884832830938
116,116,101,NG Hospital,36,120,0,0.21,0.24573853728561945
117,117,101,NG Hospital,173,6,0,0.21,0.24589264758534218
118,118,101,NG Hospital,68,140,0,0.21,0.31265330868817537
119,119,101,NG Hospital,87,160,0,0.21,0.2001413910392575
120,120,101,NG Hospital,140,95,0,0.21,0.16673782769804596
121,121,101,NG Hospital,157,82,0,0.21,0.2267457232646009
122,122,101,NG Hospital,14,44,0,0.21,0.41210638410173395
123,123,101,NG Hospital,137,117,0,0.21,0.3007659633816877
124,124,101,NG Hospital,153,51,0,0.21,0.2737172936544996
125,125,101,NG Hospital,178,39,0,0.21,0.21281043574709918
126,126,101,NG Hospital,167,172,0,0.21,0.18722488297833279
127,127,101,NG Hospital,122,94,0,0.21,0.1954600021787238
128,128,101,NG Hospital,54,199,0,0.21,0.2730932899246535
129,129,101,NG Hospital,171,129,0,0.21,0.23618464514832346
130,130,101,NG Hospital,4,126,0,0.21,0.4548945944917304
131,131,101,NG Hospital,8,47,0,0.21,0.3742288077420855
132,132,101,NG Hospital,139,64,0,0.21,0.18611283545305662
133,133,101,NG Hospital,2,191,0,0.21,0.3531496367166028
134,134,101,NG Hospital,58,122,0,0.21,0.26197483343616
135,135,101,NG Hospital,126,94,0,0.21,0.18665848325289397
136,136,101,NG Hospital,20,111,0,0.21,0.4082519312666456
137,137,101,NG Hospital,39,136,0,0.21,0.34585281015725466
138,138,101,NG Hospital,24,138,0,0.21,0.40966436883519103
139,139,101,NG Hospital,30,124,0,0.21,0.359066833197475
140,140,101,NG Hospital,45,177,0,0.21,0.2120023225611051
141,141,101,NG Hospital,91,83,0,0.21,0.23721018378983594
142,142,101,NG Hospital,130,61,0,0.21,0.24811901359798913
143,143,101,NG Hospital,69,17,0,0.21,0.2943704652672915
144,144,101,NG Hospital,198,116,0,0.21,0.22144059502485797
145,145,101,NG Hospital,44,188,0,0.21,0.2591826134026
146,146,101,NG Hospital,92,133,0,0.21,0.26958205993304896
147,147,101,NG Hospital,104,143,0,0.21,0.242495531627689
148,148,101,NG Hospital,33,184,0,0.21,0.25557683711883616
149,149,101,NG Hospital,114,26,0,0.21,0.2255563011503209
150,150,101,NG Hospital,115,163,1,0.21,0.4782407799574527
151,151,101,NG Hospital,57,157,1,0.21,0.5926618722153563
152,152,101,NG Hospital,191,80,1,0.21,0.4329063737835751
153,153,101,NG Hospital,183,126,1,0.21,0.42995758519448274
154,154,101,NG Hospital,158,53,1,0.21,0.44644270652230145
155,155,101,NG Hospital,162,151,1,0.21,0.43486646898946013
156,156,101,NG Hospital,182,29,1,0.21,0.5172725723679665
157,157,101,NG Hospital,88,20,1,0.21,0.4655101229409885
158,158,101,NG Hospital,156,149,1,0.21,0.4311920353917067
159,159,101,NG Hospital,73,11,1,0.21,0.6607615486696942
160,160,101,NG Hospital,87,19,1,0.21,0.5797420943375308
161,161,101,NG Hospital,18,95,1,0.21,0.4669141473116758
162,162,101,NG Hospital,1,182,1,0.21,0.5858053442127895
163,163,101,NG Hospital,1,35,1,0.21,0.7121594497385393
164,164,101,NG Hospital,200,91,1,0.21,0.39008438894294856
165,165,101,NG Hospital,10,157,1,0.21,0.6404164348083956
166,166,101,NG Hospital,79,199,1,0.21,0.4033793988626702
167,167,101,NG Hospital,152,190,1,0.21,0.4169784317628634
168,168,101,NG Hospital,76,152,1,0.21,0.4625845578994512
169,169,101,NG Hospital,64,73,1,0.21,0.5676427405884563
170,170,101,NG Hospital,113,83,1,0.21,0.4699357886678202
171,171,101,NG Hospital,127,38,1,0.21,0.49672816912277123
172,172,101,NG Hospital,124,182,1,0.21,0.43309936407827293
173,173,101,NG Hospital,16,197,1,0.21,0.5579279070534131
174,174,101,NG Hospital,45,54,1,0.21,0.5799023515963913
175,175,101,NG Hospital,118,167,1,0.21,0.4655552522712589
176,176,101,NG Hospital,94,190,1,0.21,0.429024189683935
177,177,101,NG Hospital,52,47,1,0.21,0.6266025808295081
178,178,101,NG Hospital,126,22,1,0.21,0.5465020851734168
179,179,101,NG Hospital,178,167,1,0.21,0.3975872092456136
180,180,101,NG Hospital,43,10,1,0.21,0.7077382922547583
181,181,101,NG Hospital,1,131,1,0.21,0.5359801970110744
182,182,101,NG Hospital,130,128,1,0.21,0.42814344529322035
183,183,101,NG Hospital,28,129,1,0.21,0.6567611975341996
184,184,101,NG Hospital,111,125,1,0.21,0.5553223001896794
185,185,101,NG Hospital,162,123,1,0.21,0.4359405902207883
186,186,101,NG Hospital,198,23,1,0.21,0.42660040744117067
187,187,101,NG Hospital,11,80,1,0.21,0.5743308301058988
188,188,101,NG Hospital,16,6,1,0.21,0.6709163470394459
189,189,101,NG Hospital,2,58,1,0.21,0.49131055172073373
190,190,101,NG Hospital,81,65,1,0.21,0.45759361094257384
191,191,101,NG Hospital,35,135,1,0.21,0.4518200166831376
192,192,101,NG Hospital,89,51,1,0.21,0.44541775211430346
193,193,101,NG Hospital,28,78,1,0.21,0.5931075280271956
194,194,101,NG Hospital,101,19,1,0.21,0.4727622909768175
195,195,101,NG Hospital,78,126,1,0.21,0.5526553447317375
196,196,101,NG Hospital,107,102,1,0.21,0.4407426098890068
197,197,101,NG Hospital,30,137,1,0.21,0.578754467618473
198,198,101,NG Hospital,52,11,1,0.21,0.6401178741520854
199,199,101,NG Hospital,191,11,1,0.21,0.44233460437776284
200,200,102,ESI Hospital,114,76,0,0.46,0.25068088179583964
201,201,102,ESI Hospital,121,10,0,0.46,0.2812859344672045
202,202,102,ESI Hospital,26,163,0,0.46,0.36886374004346373
203,203,102,ESI Hospital,58,47,0,0.46,0.30827607343949126
204,204,102,ESI Hospital,60,68,0,0.46,0.2949701386538016
205,205,102,ESI Hospital,46,192,0,0.46,0.2623047964425852
206,206,102,ESI Hospital,69,3,0,0.46,0.3269136642953774
207,207,102,ESI Hospital,4,46,0,0.46,0.39544228400506287
208,208,102,ESI Hospital,86,41,0,0.46,0.4045555383046035
209,209,102,ESI Hospital,155,130,0,0.46,0.3381624572625575
210,210,102,ESI Hospital,120,188,0,0.46,0.24561794383129917
211,211,102,ESI Hospital,107,6,0,0.46,0.3623086579632072
212,212,102,ESI Hospital,127,33,0,0.46,0.2786636728318179
213,213,102,ESI Hospital,19,113,0,0.46,0.4784185428315392
214,214,102,ESI Hospital,111,39,0,0.46,0.2938673619887677
215,215,102,ESI Hospital,114,194,0,0.46,0.235973559046913
216,216,102,ESI Hospital,34,11,0,0.46,0.5368466905212321
217,217,102,ESI Hospital,1,168,0,0.46,0.4167190600762394
218,218,102,ESI Hospital,28,54,0,0.46,0.3459193268437568
219,219,102,ESI Hospital,75,184,0,0.46,0.24465375045064314
220,220,102,ESI Hospital,120,6,0,0.46,0.2819722721707905
221,221,102,ESI Hospital,92,95,0,0.46,0.29526060425328016
222,222,102,ESI Hospital,163,144,0,0.46,0.2718188413964959
223,223,102,ESI Hospital,146,43,0,0.46,0.2647243397497051
224,224,102,ESI Hospital,107,153,0,0.46,0.2771886307861472
225,225,102,ESI Hospital,159,107,0,0.46,0.27802296997268955
226,226,102,ESI Hospital,167,12,0,0.46,0.3265684841349446
227,227,102,ESI Hospital,38,72,0,0.46,0.3769791696817056
228,228,102,ESI Hospital,50,89,0,0.46,0.30199280342969903
229,229,102,ESI Hospital,44,56,0,0.46,0.44020332812439156
230,230,102,ESI Hospital,36,29,0,0.46,0.4622547789304331
231,231,102,ESI Hospital,75,48,0,0.46,0.3792652842024431
232,232,102,ESI Hospital,96,40,0,0.46,0.28113620486096974
233,233,102,ESI Hospital,119,96,0,0.46,0.26597865298887235
234,234,102,ESI Hospital,196,105,0,0.46,0.21213063345968983
235,235,102,ESI Hospital,37,44,0,0.46,0.37788725478947505
236,236,102,ESI Hospital,17,125,0,0.46,0.32557546605638965
237,237,102,ESI Hospital,42,180,0,0.46,0.28957650421802916
238,238,102,ESI Hospital,196,28,0,0.46,0.286167213811386
239,239,102,ESI Hospital,178,181,0,0.46,0.23613975273476262
240,240,102,ESI Hospital,199,41,0,0.46,0.2946955728293016
241,241,102,ESI Hospital,95,52,0,0.46,0.32383734224963184
242,242,102,ESI Hospital,144,126,0,0.46,0.2929618786827185
243,243,102,ESI Hospital,188,137,0,0.46,0.2750477534914504
244,244,102,ESI Hospital,144,47,0,0.46,0.3184062455021346
245,245,102,ESI Hospital,188,183,0,0.46,0.23605507495123929
246,246,102,ESI Hospital,132,56,0,0.46,0.3160775729298111
247,247,102,ESI Hospital,188,176,0,0.46,0.2586347553642674
248,248,102,ESI Hospital,93,90,0,0.46,0.2819725367797981
249,249,102,ESI Hospital,181,79,0,0.46,0.2622889132559705
250,250,102,ESI Hospital,168,112,1,0.46,0.5738910169111124
251,251,102,ESI Hospital,66,25,1,0.46,0.5380734358429935
252,252,102,ESI Hospital,118,46,1,0.46,0.5376860357315106
253,253,102,ESI Hospital,140,50,1,0.46,0.46988266893984393
254,254,102,ESI Hospital,80,125,1,0.46,0.5658407214185366
255,255,102,ESI Hospital,42,25,1,0.46,0.5391319890993653
256,256,102,ESI Hospital,48,115,1,0.46,0.5402980734544842
257,257,102,ESI Hospital,33,90,1,0.46,0.5665728086408766
258,258,102,ESI Hospital,143,126,1,0.46,0.5402522965571072
259,259,102,ESI Hospital,72,72,1,0.46,0.5516528022878056
260,260,102,ESI Hospital,158,76,1,0.46,0.4586131028968696
261,261,102,ESI Hospital,159,136,1,0.46,0.56693602389113
262,262,102,ESI Hospital,119,168,1,0.46,0.4863606539921587
263,263,102,ESI Hospital,91,190,1,0.46,0.48990492020654125
264,264,102,ESI Hospital,16,199,1,0.46,0.5028278741967087
265,265,102,ESI Hospital,118,29,1,0.46,0.5381131253201418
266,266,102,ESI Hospital,186,191,1,0.46,0.4620932407276071
267,267,102,ESI Hospital,17,69,1,0.46,0.5652694451162215
268,268,102,ESI Hospital,19,11,1,0.46,0.7170589882348238
269,269,102,ESI Hospital,140,163,1,0.46,0.4616823817507307
270,270,102,ESI Hospital,31,72,1,0.46,0.6482309279518833
271,271,102,ESI Hospital,194,118,1,0.46,0.5351907624324241
272,272,102,ESI Hospital,136,102,1,0.46,0.44113637016455937
273,273,102,ESI Hospital,110,44,1,0.46,0.5404903923394752
274,274,102,ESI Hospital,198,110,1,0.46,0.4016250340411581
275,275,102,ESI Hospital,143,69,1,0.46,0.46067662497952394
276,276,102,ESI Hospital,67,41,1,0.46,0.5813879488677962
277,277,102,ESI Hospital,77,119,1,0.46,0.5803580334892592
278,278,102,ESI Hospital,46,126,1,0.46,0.6828970814100996
279,279,102,ESI Hospital,123,5,1,0.46,0.6137658907099439
280,280,102,ESI Hospital,25,121,1,0.46,0.7356234711561509
281,281,102,ESI Hospital,44,186,1,0.46,0.4972679347280472
282,282,102,ESI Hospital,59,53,1,0.46,0.6392487023912109
283,283,102,ESI Hospital,46,5,1,0.46,0.5178907030569164
284,284,102,ESI Hospital,29,103,1,0.46,0.48446065042074116
285,285,102,ESI Hospital,189,148,1,0.46,0.4603546841582007
286,286,102,ESI Hospital,177,21,1,0.46,0.5474169577335102
287,287,102,ESI Hospital,55,9,1,0.46,0.6144288498660369
288,288,102,ESI Hospital,164,171,1,0.46,0.5395929746012903
289,289,102,ESI Hospital,47,62,1,0.46,0.5667145185903975
290,290,102,ESI Hospital,125,56,1,0.46,0.4623569367518729
291,291,102,ESI Hospital,155,45,1,0.46,0.50972298758232
292,292,102,ESI Hospital,129,117,1,0.46,0.5961917058537979
293,293,102,ESI Hospital,166,59,1,0.46,0.5148945838318981
294,294,102,ESI Hospital,16,66,1,0.46,0.6623976168993255
295,295,102,ESI Hospital,32,135,1,0.46,0.687363510035345
296,296,102,ESI Hospital,65,53,1,0.46,0.5371142933532347
297,297,102,ESI Hospital,49,176,1,0.46,0.5439534820313834
298,298,102,ESI Hospital,199,90,1,0.46,0.466101482734016
299,299,102,ESI Hospital,24,113,1,0.46,0.6961993225965568
300,300,103,Sri Ramakrishna Hospital,76,152,0,0.49,0.348114921160949
301,301,103,Sri Ramakrishna Hospital,182,48,0,0.49,0.32028479914930097
302,302,103,Sri Ramakrishna Hospital,123,72,0,0.49,0.31262542553395173
303,303,103,Sri Ramakrishna Hospital,26,113,0,0.49,0.5517604694794613
304,304,103,Sri Ramakrishna Hospital,167,103,0,0.49,0.2428269082537956
305,305,103,Sri Ramakrishna Hospital,77,142,0,0.49,0.4223311477705342
306,306,103,Sri Ramakrishna Hospital,160,102,0,0.49,0.23321167779176616
307,307,103,Sri Ramakrishna Hospital,0,158,0,0.49,0.40159964081328725
308,308,103,Sri Ramakrishna Hospital,115,164,0,0.49,0.24247972674433843
309,309,103,Sri Ramakrishna Hospital,109,136,0,0.49,0.3664192252731352
310,310,103,Sri Ramakrishna Hospital,71,176,0,0.49,0.330192526028389
311,311,103,Sri Ramakrishna Hospital,145,114,0,0.49,0.32364933823835695
312,312,103,Sri Ramakrishna Hospital,41,118,0,0.49,0.3266753117506383
313,313,103,Sri Ramakrishna Hospital,119,44,0,0.49,0.356091688179913
314,314,103,Sri Ramakrishna Hospital,25,170,0,0.49,0.33026894542386764
315,315,103,Sri Ramakrishna Hospital,9,186,0,0.49,0.44662877440797744
316,316,103,Sri Ramakrishna Hospital,97,85,0,0.49,0.27980908448766245
317,317,103,Sri Ramakrishna Hospital,165,137,0,0.49,0.3489047243853331
318,318,103,Sri Ramakrishna Hospital,157,16,0,0.49,0.32716135992867634
319,319,103,Sri Ramakrishna Hospital,96,178,0,0.49,0.3159814660238309
320,320,103,Sri Ramakrishna Hospital,193,99,0,0.49,0.21005091292685257
321,321,103,Sri Ramakrishna Hospital,78,155,0,0.49,0.28016689912524806
322,322,103,Sri Ramakrishna Hospital,97,67,0,0.49,0.33558817012698
323,323,103,Sri Ramakrishna Hospital,112,176,0,0.49,0.2571759517022545
324,324,103,Sri Ramakrishna Hospital,11,45,0,0.49,0.42445467942623555
325,325,103,Sri Ramakrishna Hospital,22,153,0,0.49,0.4444394641221979
326,326,103,Sri Ramakrishna Hospital,5,105,0,0.49,0.3464213354516628
327,327,103,Sri Ramakrishna Hospital,181,167,0,0.49,0.2727496629105386
328,328,103,Sri Ramakrishna Hospital,98,142,0,0.49,0.26075213465981983
329,329,103,Sri Ramakrishna Hospital,14,69,0,0.49,0.3108716513368958
330,330,103,Sri Ramakrishna Hospital,35,14,0,0.49,0.48233285325938396
331,331,103,Sri Ramakrishna Hospital,135,9,0,0.49,0.3849209546744521
332,332,103,Sri Ramakrishna Hospital,76,22,0,0.49,0.40791360551838673
333,333,103,Sri Ramakrishna Hospital,153,127,0,0.49,0.3364512768959721
334,334,103,Sri Ramakrishna Hospital,172,121,0,0.49,0.3604974270486241
335,335,103,Sri Ramakrishna Hospital,188,165,0,0.49,0.25249748058820987
336,336,103,Sri Ramakrishna Hospital,80,43,0,0.49,0.3077384638737126
337,337,103,Sri Ramakrishna Hospital,176,129,0,0.49,0.27493079208608173
338,338,103,Sri Ramakrishna Hospital,83,17,0,0.49,0.407172765098931
339,339,103,Sri Ramakrishna Hospital,71,170,0,0.49,0.3209605539077222
340,340,103,Sri Ramakrishna Hospital,20,118,0,0.49,0.37880591278960685
341,341,103,Sri Ramakrishna Hospital,88,119,0,0.49,0.3260563960198132
342,342,103,Sri Ramakrishna Hospital,46,88,0,0.49,0.2876054234919288
343,343,103,Sri Ramakrishna Hospital,62,32,0,0.49,0.3332923105442258
344,344,103,Sri Ramakrishna Hospital,48,136,0,0.49,0.44643361045946156
345,345,103,Sri Ramakrishna Hospital,195,6,0,0.49,0.3221464541660508
346,346,103,Sri Ramakrishna Hospital,4,153,0,0.49,0.34509202008002715
347,347,103,Sri Ramakrishna Hospital,47,145,0,0.49,0.30238961473499654
348,348,103,Sri Ramakrishna Hospital,93,88,0,0.49,0.33902494110984893
349,349,103,Sri Ramakrishna Hospital,48,76,0,0.49,0.36047785003618193
350,350,103,Sri Ramakrishna Hospital,26,189,1,0.49,0.6032840338501515
351,351,103,Sri Ramakrishna Hospital,69,147,1,0.49,0.5125965315148233
352,352,103,Sri Ramakrishna Hospital,87,108,1,0.49,0.47909810758680443
353,353,103,Sri Ramakrishna Hospital,161,172,1,0.49,0.477750647634755
354,354,103,Sri Ramakrishna Hospital,81,123,1,0.49,0.6017697958409929
355,355,103,Sri Ramakrishna Hospital,186,189,1,0.49,0.48303794282008405
356,356,103,Sri Ramakrishna Hospital,9,60,1,0.49,0.7110620542609347
357,357,103,Sri Ramakrishna Hospital,189,184,1,0.49,0.4587047848159646
358,358,103,Sri Ramakrishna Hospital,42,0,1,0.49,0.6818124726112478
359,359,103,Sri Ramakrishna Hospital,132,14,1,0.49,0.589454355850191
360,360,103,Sri Ramakrishna Hospital,71,160,1,0.49,0.48240625600939696
361,361,103,Sri Ramakrishna Hospital,198,27,1,0.49,0.5530568478393892
362,362,103,Sri Ramakrishna Hospital,112,84,1,0.49,0.5088431924298116
363,363,103,Sri Ramakrishna Hospital,85,126,1,0.49,0.5301769597009063
364,364,103,Sri Ramakrishna Hospital,153,0,1,0.49,0.6618099381503859
365,365,103,Sri Ramakrishna Hospital,95,110,1,0.49,0.487475859033426
366,366,103,Sri Ramakrishna Hospital,154,189,1,0.49,0.47910933496368324
367,367,103,Sri Ramakrishna Hospital,34,30,1,0.49,0.5721999981550354
368,368,103,Sri Ramakrishna Hospital,44,45,1,0.49,0.5791756974745604
369,369,103,Sri Ramakrishna Hospital,200,47,1,0.49,0.5221519921524171
370,370,103,Sri Ramakrishna Hospital,174,43,1,0.49,0.5661501382994837
371,371,103,Sri Ramakrishna Hospital,168,10,1,0.49,0.5933922773701661
372,372,103,Sri Ramakrishna Hospital,128,40,1,0.49,0.528730941005515
373,373,103,Sri Ramakrishna Hospital,144,38,1,0.49,0.48876167873456755
374,374,103,Sri Ramakrishna Hospital,96,129,1,0.49,0.6054094804578546
375,375,103,Sri Ramakrishna Hospital,114,139,1,0.49,0.5958534824009447
376,376,103,Sri Ramakrishna Hospital,77,100,1,0.49,0.5430007437226687
377,377,103,Sri Ramakrishna Hospital,82,69,1,0.49,0.502167072889992
378,378,103,Sri Ramakrishna Hospital,124,3,1,0.49,0.6301872586460523
379,379,103,Sri Ramakrishna Hospital,133,171,1,0.49,0.48148143623299333
380,380,103,Sri Ramakrishna Hospital,197,59,1,0.49,0.4441692415481897
381,381,103,Sri Ramakrishna Hospital,195,199,1,0.49,0.47120569426198694
382,382,103,Sri Ramakrishna Hospital,79,110,1,0.49,0.4898237113821355
383,383,103,Sri Ramakrishna Hospital,11,55,1,0.49,0.5718928157290795
384,384,103,Sri Ramakrishna Hospital,133,130,1,0.49,0.5346004865609231
385,385,103,Sri Ramakrishna Hospital,37,95,1,0.49,0.6213734341774386
386,386,103,Sri Ramakrishna Hospital,80,126,1,0.49,0.5496060267276672
387,387,103,Sri Ramakrishna Hospital,12,171,1,0.49,0.6608488279062443
388,388,103,Sri Ramakrishna Hospital,49,23,1,0.49,0.5470251977248007
389,389,103,Sri Ramakrishna Hospital,145,6,1,0.49,0.6013660913873194
390,390,103,Sri Ramakrishna Hospital,70,178,1,0.49,0.5408985976722677
391,391,103,Sri Ramakrishna Hospital,139,106,1,0.49,0.46284171062418045
392,392,103,Sri Ramakrishna Hospital,48,106,1,0.49,0.5412242762584808
393,393,103,Sri Ramakrishna Hospital,190,26,1,0.49,0.4853993087706182
394,394,103,Sri Ramakrishna Hospital,89,167,1,0.49,0.5191664336555447
395,395,103,Sri Ramakrishna Hospital,34,35,1,0.49,0.6954776864561566
396,396,103,Sri Ramakrishna Hospital,78,36,1,0.49,0.5486779425159803
397,397,103,Sri Ramakrishna Hospital,112,200,1,0.49,0.4718833491703772
398,398,103,Sri Ramakrishna Hospital,36,12,1,0.49,0.7370261999930656
399,399,103,Sri Ramakrishna Hospital,99,42,1,0.49,0.5549246419725049
400,400,104,KMCH,182,5,0,0.19,0.2657843395586501
401,401,104,KMCH,83,30,0,0.19,0.24336221916902823
